GENESIS-Tabelle: 31121-0004
Baufertigstellungen neuer Gebäude: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;
Gebäudeart, Energieverwendung, Energieart;;;;;;;;;;;;;;;;;;;
Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Neue Gebäude (Anzahl);;;;;;;;;;;;;;;;;;;
;;;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart
;;;Wohngebäude;Wohngebäude mit 1 Wohnung;Wohngebäude mit 2 Wohnungen;Wohngebäude mit 3 oder mehr Wohnungen;Wohnheime;Wohngebäude mit Eigentumswohnungen;Nichtwohngebäude;Anstaltsgebäude;Büro- und Verwaltungsgebäude;Landwirtschaftliche Betriebsgebäude;Nichtlandwirtschaftliche Betriebsgebäude;Fabrik- und Werkstattgebäude;Handelsgebäude;Warenlagergebäude;Hotels und Gaststätten;Sonstige Nichtwohngebäude;Ausgewählte Infrastrukturgebäude
2016;Zur Warmwasserbereitung verwendete sekund. Energie;Holz;1879;1603;206;69;1;34;81;6;7;3;48;21;4;13;5;17;21
2016;Zur Warmwasserbereitung verwendete sekund. Energie;Biogas/Biomethan;99;48;4;43;4;7;23;2;-;5;11;5;-;3;1;5;8
2016;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Biomasse;42;22;9;11;-;2;4;-;-;-;3;1;-;2;-;1;2
2016;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Energie;520;337;27;148;8;89;202;16;32;5;109;52;21;18;12;40;58
2016;Zur Warmwasserbereitung verwendete sekund. Energie;Keine Energie;55743;43441;4737;7193;372;4247;21634;331;1179;5397;12979;2746;1073;5161;306;1748;2355
2017;Zur Heizung verwendete primäre Energie;Öl;1076;813;166;90;7;38;380;8;50;28;251;118;38;62;15;43;50
2017;Zur Heizung verwendete primäre Energie;Gas;52145;40469;4411;6974;291;3804;5715;254;753;160;3663;1370;638;1104;270;885;1253
2017;Zur Heizung verwendete primäre Energie;Strom;938;781;88;48;21;24;648;7;86;17;391;127;68;113;46;147;159
2017;Zur Heizung verwendete primäre Energie;Fernwärme/Fernkälte;7785;4592;459;2609;125;1443;1500;92;296;22;590;213;99;136;82;500;604
2017;Zur Heizung verwendete primäre Energie;Geothermie;7800;6333;770;692;5;391;403;9;107;5;188;74;44;48;10;94;105
2017;Zur Heizung verwendete primäre Energie;Umweltthermie;33143;28223;3106;1771;43;1044;1559;65;353;20;868;278;268;212;48;253;323
2017;Zur Heizung verwendete primäre Energie;Solarthermie;649;523;64;62;0;32;60;1;10;2;41;13;11;10;4;6;7
2017;Zur Heizung verwendete primäre Energie;Holz;5425;3924;600;886;15;545;745;23;76;89;461;171;41;144;39;96;124
2017;Zur Heizung verwendete primäre Energie;Biogas/Biomethan;308;197;29;82;0;77;55;1;8;13;29;13;4;8;0;4;13
2017;Zur Heizung verwendete primäre Energie;Sonstige Biomasse;350;30;90;90;-;79;31;3;5;5;15;6;3;4;0;3;8
2017;Zur Heizung verwendete primäre Energie;Sonstige Energie;326;267;17;41;1;19;161;6;20;9;115;34;47;25;4;11;15
2017;Zur Heizung verwendete primäre Energie;Keine Energie;106;88;14;-;1;2;12699;12;5;4346;7828;666;103;3639;2;508;443
2017;Zur Heizung verwendete sekundäre Energie;Öl;31;27;1;3;-;1;22;2;3;1;11;5;2;3;1;5;7
2017;Zur Heizung verwendete sekundäre Energie;Gas;992;594;81;314;3;163;283;22;68;4;135;56;34;29;8;54;78
2017;Zur Heizung verwendete sekundäre Energie;Strom;7310;6315;513;471;11;241;604;50;109;8;354;114;106;90;19;83;138
2017;Zur Heizung verwendete sekundäre Energie;Fernwärme/Fernkälte;137;105;5;27;0;12;13;1;1;-;8;4;0;1;0;3;4
2017;Zur Heizung verwendete sekundäre Energie;Geothermie;252;186;29;36;-;11;29;3;7;-;12;7;3;1;0;7;11
2017;Zur Heizung verwendete sekundäre Energie;Umweltthermie;1167;877;88;196;6;78;175;2;32;1;115;43;36;26;5;25;28
2017;Zur Heizung verwendete sekundäre Energie;Solarthermie;17755;13126;1759;2801;69;1552;919;39;156;27;513;183;89;157;49;184;236
2017;Zur Heizung verwendete sekundäre Energie;Holz;16772;14409;1720;632;11;405;455;15;50;37;302;92;36;74;68;51;73
2017;Zur Heizung verwendete sekundäre Energie;Biogas/Biomethan;63;29;6;23;5;10;22;1;2;3;9;5;-;1;0;7;9
2017;Zur Heizung verwendete sekundäre Energie;Sonstige Biomasse;63;7;14;14;-;5;6;-;0;-;4;2;-;-;-;1;1
2017;Zur Heizung verwendete sekundäre Energie;Sonstige Energie;403;251;10;134;8;79;231;11;29;5;155;62;34;27;17;31;50
2017;Zur Heizung verwendete sekundäre Energie;Keine Energie;65106;50479;5535;8697;395;4941;21197;335;1312;4629;12822;2510;1021;5095;353;2099;2469
2017;Zur Warmwasserbereitung verwendete primäre Energie;Öl;837;631;131;70;5;29;277;8;40;19;174;84;26;44;9;36;42
