GENESIS-Tabelle: 31111-0008
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;
Gebäudeart, Energieverwendung, Energieart;;;;;;;;;;;;;;;;;;;
Statistik der Baugenehmigungen;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Neue Gebäude (Anzahl);;;;;;;;;;;;;;;;;;;
;;;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart
;;;Wohngebäude;Wohngebäude mit 1 Wohnung;Wohngebäude mit 2 Wohnungen;Wohngebäude mit 3 oder mehr Wohnungen;Wohnheime;Wohngebäude mit Eigentumswohnungen;Nichtwohngebäude;Anstaltsgebäude;Büro- und Verwaltungsgebäude;Landwirtschaftliche Betriebsgebäude;Nichtlandwirtschaftliche Betriebsgebäude;Fabrik- und Werkstattgebäude;Handelsgebäude;Warenlagergebäude;Hotels und Gaststätten;Sonstige Nichtwohngebäude;Ausgewählte Infrastrukturgebäude
2014;Zur Heizung verwendete primäre Energie;Solarthermie;567;434;68;65;-;30;59;1;13;4;31;12;.;.;-;10;8
2014;Zur Heizung verwendete primäre Energie;Holz;6108;4457;696;939;16;605;948;33;76;139;593;249;.;.;29;107;145
2014;Zur Heizung verwendete primäre Energie;Biogas/Biomethan;261;175;19;62;5;45;88;1;6;21;50;26;.;.;-;10;23
2014;Zur Heizung verwendete primäre Energie;Sonstige Biomasse;461;323;45;93;-;66;80;4;7;11;48;20;.;.;3;10;19
2014;Zur Heizung verwendete primäre Energie;Sonstige Energie;244;175;21;47;1;51;173;6;15;10;127;56;.;.;2;15;20
2014;Zur Heizung verwendete primäre Energie;Keine Energie;98;84;10;3;1;-;14552;2;7;5877;8235;798;.;.;8;431;618
2014;Zur Heizung verwendete sekundäre Energie;Öl;37;23;9;5;-;1;31;1;4;3;18;9;.;.;3;5;6
2014;Zur Heizung verwendete sekundäre Energie;Gas;878;494;69;308;7;214;268;15;50;9;148;70;.;.;8;46;60
2014;Zur Heizung verwendete sekundäre Energie;Strom;6344;5562;369;402;11;219;553;25;93;18;326;110;.;.;16;91;126
2014;Zur Heizung verwendete sekundäre Energie;Fernwärme/Fernkälte;136;107;2;26;1;14;26;2;6;-;9;5;.;.;-;9;14
2014;Zur Heizung verwendete sekundäre Energie;Geothermie;250;161;29;59;1;27;55;-;19;-;22;8;.;.;1;14;15
2014;Zur Heizung verwendete sekundäre Energie;Umweltthermie;909;686;85;136;2;73;179;3;33;1;107;38;.;.;8;35;40
2014;Zur Heizung verwendete sekundäre Energie;Solarthermie;19140;14385;1906;2812;37;1623;1017;33;183;28;592;225;.;.;45;181;214
2014;Zur Heizung verwendete sekundäre Energie;Holz;18362;15834;1913;609;6;336;513;22;60;61;309;130;.;.;15;61;90
2014;Zur Heizung verwendete sekundäre Energie;Biogas/Biomethan;90;43;4;39;4;4;38;1;2;4;24;12;.;.;3;7;12
2014;Zur Heizung verwendete sekundäre Energie;Sonstige Biomasse;55;35;7;13;-;3;19;1;2;-;12;9;.;.;-;4;5
2014;Zur Heizung verwendete sekundäre Energie;Sonstige Energie;567;390;31;143;3;85;266;11;36;6;167;67;.;.;13;46;62
2014;Zur Heizung verwendete sekundäre Energie;Keine Energie;64842;50471;5149;9039;183;5373;23800;368;1329;6247;13784;2932;.;.;331;2072;2759
2014;Zur Warmwasserbereitung verwendete primäre Energie;Öl;904;672;149;81;2;27;358;12;35;14;247;106;.;.;16;50;70
2014;Zur Warmwasserbereitung verwendete primäre Energie;Gas;49248;38366;4168;6592;122;3718;5205;209;709;152;3253;1252;.;.;215;882;1136
2014;Zur Warmwasserbereitung verwendete primäre Energie;Strom;1700;1344;140;206;10;79;2174;40;344;76;1295;448;.;.;42;419;504
2014;Zur Warmwasserbereitung verwendete primäre Energie;Fernwärme/Fernkälte;8495;5268;377;2782;68;1760;1332;95;254;22;560;213;.;.;85;401;491
2014;Zur Warmwasserbereitung verwendete primäre Energie;Geothermie;7212;5905;662;639;6;368;326;2;95;11;164;54;.;.;12;54;59
2014;Zur Warmwasserbereitung verwendete primäre Energie;Umweltthermie;25528;21930;2362;1223;13;719;994;66;210;20;543;205;.;.;30;155;236
2014;Zur Warmwasserbereitung verwendete primäre Energie;Solarthermie;11979;9997;1003;965;14;548;398;20;79;20;220;79;.;.;9;59;78
2014;Zur Warmwasserbereitung verwendete primäre Energie;Holz;5561;4006;630;911;14;595;683;27;66;100;422;193;.;.;26;68;109
2014;Zur Warmwasserbereitung verwendete primäre Energie;Biogas/Biomethan;263;176;20;62;5;46;77;1;6;20;40;23;.;.;-;10;21
2014;Zur Warmwasserbereitung verwendete primäre Energie;Sonstige Biomasse;422;294;40;88;-;63;69;4;5;9;42;18;.;.;2;9;18
2014;Zur Warmwasserbereitung verwendete primäre Energie;Sonstige Energie;298;233;22;42;1;49;151;6;14;17;97;45;.;.;6;17;21
2014;Zur Warmwasserbereitung verwendete primäre Energie;Keine Energie;-;-;-;-;-;-;14998;-;-;5916;8635;979;.;.;-;447;660
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Öl;101;74;18;9;-;-;28;1;2;3;18;8;.;.;2;4;4
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Gas;8366;6833;642;873;18;550;353;30;71;8;192;76;.;.;9;52;89
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Strom;7487;6517;482;478;10;261;713;24;112;25;408;142;.;.;29;144;181
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Fernwärme/Fernkälte;161;126;4;31;-;22;24;2;6;-;9;2;.;.;2;7;9
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Geothermie;417;308;43;65;1;35;37;-;10;-;16;4;.;.;3;11;12
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Umweltthermie;1309;1029;144;135;1;73;129;1;21;2;77;25;.;.;7;28;29
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Solarthermie;34723;27576;3169;3923;55;2155;1450;70;274;35;822;319;.;.;66;249;323
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Holz;2195;1842;251;101;1;44;100;7;11;9;58;33;.;.;1;15;22
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Biogas/Biomethan;87;44;4;35;4;4;23;1;1;3;13;8;.;.;-;5;7
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Biomasse;56;37;6;13;-;2;15;1;2;2;8;5;.;.;-;2;4
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Energie;612;408;31;170;3;108;253;12;33;7;151;63;.;.;15;50;67
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Keine Energie;56096;43397;4779;7758;162;4718;23640;333;1274;6283;13746;2930;.;.;309;2004;2656
2015;Zur Heizung verwendete primäre Energie;Öl;1126;867;169;82;8;39;372;7;45;17;257;111;32;71;18;46;54
2015;Zur Heizung verwendete primäre Energie;Gas;64356;50899;5279;7966;212;4382;6686;295;899;156;4283;1621;833;1237;241;1053;1415
2015;Zur Heizung verwendete primäre Energie;Strom;998;841;77;62;18;24;664;17;97;20;407;155;56;131;29;123;180
2015;Zur Heizung verwendete primäre Energie;Fernwärme/Fernkälte;8889;5413;497;2903;76;1587;1601;109;322;40;662;229;108;145;108;468;590
2015;Zur Heizung verwendete primäre Energie;Geothermie;7484;6081;708;688;7;401;357;8;98;8;170;71;26;43;14;73;81
2015;Zur Heizung verwendete primäre Energie;Umweltthermie;30253;25961;2663;1599;30;1027;1288;83;293;20;688;246;209;154;39;204;298
2015;Zur Heizung verwendete primäre Energie;Solarthermie;706;542;79;85;-;39;62;-;6;2;44;15;9;14;5;10;10
2015;Zur Heizung verwendete primäre Energie;Holz;5831;4345;586;887;13;566;843;23;72;110;521;226;41;137;38;117;149
2015;Zur Heizung verwendete primäre Energie;Biogas/Biomethan;322;206;25;84;7;43;81;3;15;7;48;24;3;16;-;8;20
2015;Zur Heizung verwendete primäre Energie;Sonstige Biomasse;403;272;43;84;4;78;40;2;7;6;21;7;2;9;1;4;9
2015;Zur Heizung verwendete primäre Energie;Sonstige Energie;270;176;16;78;-;27;128;4;12;6;97;26;40;25;4;9;13
