GENESIS-Tabelle: 71141-0001
Rechnungsergebnisse des öffentlichen Gesamthaushalts;;;;;;;;;
(Ausgaben): Deutschland, Jahre, Körperschaftsgruppen,;;;;;;;;;
Ausgabearten;;;;;;;;;
Rechnungsergebnisse d.öffentlichen Gesamthaushalts;;;;;;;;;
Deutschland;;;;;;;;;
Ausgaben der öffentlichen Haushalte (Mill. EUR);;;;;;;;;
;;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen
;;Bund;Sondervermögen des Bundes;EU-Anteile;Sozialversicherung;Länder;Gemeinden / Gemeindeverbände;Zweckverbände;Insgesamt
Baumaßnahmen;1995;5334;1;-;531;6455;24674;1859;38855
Baumaßnahmen;1996;5092;0;-;584;6566;22810;1361;36413
Baumaßnahmen;1997;5299;0;-;413;6420;21328;1186;34646
Baumaßnahmen;1998;5782;-;-;315;5661;19062;936;31756
Baumaßnahmen;1999;5984;0;-;272;5637;18869;773;31536
Baumaßnahmen;2000;5590;-;-;294;5834;18920;695;31332
Baumaßnahmen;2001;5559;-;-;245;5616;18437;570;30427
Baumaßnahmen;2002;5367;0;-;210;5070;17734;558;28938
Baumaßnahmen;2003;5300;79;-;215;5127;16843;562;28127
Baumaßnahmen;2004;5464;15;-;241;4797;15478;584;26579
Baumaßnahmen;2005;5779;40;-;282;4329;14381;553;25363
Baumaßnahmen;2006;5634;28;-;189;4455;14913;534;25754
Baumaßnahmen;2007;5477;1;-;156;4520;15515;509;26177
Baumaßnahmen;2008;5777;1;-;140;4692;15802;531;26942
Baumaßnahmen;2009;6836;378;-;88;5050;16842;500;29694
Baumaßnahmen;2010;6241;548;-;136;5433;18561;585;31506
Baumaßnahmen;2011;5813;868;-;134;5643;17672;561;30690
Erwerb von unbeweglichem Sachvermögen;1992;504;-;-;547;759;4026;60;5896
Erwerb von unbeweglichem Sachvermögen;1993;479;-;-;658;799;3933;63;5931
Erwerb von unbeweglichem Sachvermögen;1994;383;-;-;440;990;3735;87;5635
Erwerb von unbeweglichem Sachvermögen;1995;353;-;-;921;954;3583;85;5896
Erwerb von unbeweglichem Sachvermögen;1996;395;-;-;548;790;3438;59;5230
Erwerb von unbeweglichem Sachvermögen;1997;328;-;-;272;682;3452;91;4825
Erwerb von unbeweglichem Sachvermögen;1998;388;-;-;245;540;3572;59;4804
Erwerb von unbeweglichem Sachvermögen;1999;294;-;-;228;520;3594;82;4718
Erwerb von unbeweglichem Sachvermögen;2000;369;-;-;160;627;3584;36;4776
Erwerb von unbeweglichem Sachvermögen;2001;471;-;-;325;508;3475;65;4843
Erwerb von unbeweglichem Sachvermögen;2002;426;-;-;239;557;3639;50;4911
Erwerb von unbeweglichem Sachvermögen;2003;501;-;-;168;499;2660;39;3867
Erwerb von unbeweglichem Sachvermögen;2004;496;-;-;146;444;2467;36;3589
Erwerb von unbeweglichem Sachvermögen;2005;503;-;-;148;475;2492;65;3682
Erwerb von unbeweglichem Sachvermögen;2006;533;-;-;123;504;2467;36;3663
Erwerb von unbeweglichem Sachvermögen;2007;472;-;-;149;434;2609;38;3701
Erwerb von unbeweglichem Sachvermögen;2008;504;-;-;236;360;2841;41;3982
Erwerb von unbeweglichem Sachvermögen;2009;641;-;-;94;520;2576;59;3889
Erwerb von unbeweglichem Sachvermögen;2010;503;-;-;115;345;2256;45;3263
Erwerb von unbeweglichem Sachvermögen;2011;490;-;-;93;335;2137;40;3095
Erwerb von beweglichem Sachvermögen;1992;930;-;-;337;3064;3427;172;7930
Erwerb von beweglichem Sachvermögen;1993;746;-;-;315;2896;3219;164;7340
Erwerb von beweglichem Sachvermögen;1994;583;0;-;307;2813;2738;184;6625
Erwerb von beweglichem Sachvermögen;1995;565;2;-;523;2744;2778;173;6785
Erwerb von beweglichem Sachvermögen;1996;645;2;-;389;2633;2835;154;6657
Erwerb von beweglichem Sachvermögen;1997;602;1;-;338;2419;2662;164;6186
Erwerb von beweglichem Sachvermögen;1998;747;2;-;397;1855;2029;127;5157
Erwerb von beweglichem Sachvermögen;1999;773;4;-;536;2060;2115;90;5578
Erwerb von beweglichem Sachvermögen;2000;741;2;-;411;2058;2203;84;5500
Erwerb von beweglichem Sachvermögen;2001;834;5;-;461;2151;2369;89;5910
Erwerb von beweglichem Sachvermögen;2002;910;2;-;472;2015;2320;90;5810
Erwerb von beweglichem Sachvermögen;2003;839;2;-;436;1795;1971;74;5117
Erwerb von beweglichem Sachvermögen;2004;867;1;-;458;1730;1864;67;4988
Erwerb von beweglichem Sachvermögen;2005;884;2;-;495;1615;1866;51;4913
Erwerb von beweglichem Sachvermögen;2006;878;1;-;424;1608;2032;56;4999
Erwerb von beweglichem Sachvermögen;2007;764;2;-;366;1442;1899;51;4525
Erwerb von beweglichem Sachvermögen;2008;789;1;-;337;1603;1975;62;4766
Erwerb von beweglichem Sachvermögen;2009;859;116;-;439;1735;2471;56;5676
Erwerb von beweglichem Sachvermögen;2010;782;205;-;317;1791;2347;62;5505
Erwerb von beweglichem Sachvermögen;2011;764;271;-;322;1573;2253;53;5236
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;1992;10625;-;-;-;15588;1717;38;27969
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;1993;9998;-;-;-;15927;1820;41;27786
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;1994;9186;-;-;-;14153;1807;45;25191
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;1995;12668;-;-;-;14628;1888;42;29226
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;1996;12650;-;-;-;14914;1766;45;29376
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;1997;10787;-;-;-;14109;1677;39;26612
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;1998;10759;-;-;-;11914;1465;32;24171
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;1999;10545;-;-;-;11490;1335;34;23404
Zuw. f. Invest., Vermögensübertr. an öff. Bereich;2000;10011;-;-;-;11889;1361;33;23295
