GENESIS-Tabelle: 71141-0002
Rechnungsergebnisse des öffentlichen Gesamthaushalts;;;;;;;;;
(Einnahmen): Deutschland, Jahre, Körperschaftsgruppen,;;;;;;;;;
Einnahmearten;;;;;;;;;
Rechnungsergebnisse d.öffentlichen Gesamthaushalts;;;;;;;;;
Deutschland;;;;;;;;;
Einnahmen der öffentlichen Haushalte (Mill. EUR);;;;;;;;;
;;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen
;;Bund;Sondervermögen des Bundes;EU-Anteile;Sozialversicherung;Länder;Gemeinden / Gemeindeverbände;Zweckverbände;Insgesamt
Einnahmen der laufenden Rechnung;2007;270813;13926;21374;476555;252837;153456;4226;997860
Einnahmen der laufenden Rechnung;2008;283637;16863;22414;484786;262427;161093;4220;1028031
Einnahmen der laufenden Rechnung;2009;277541;19126;19832;494146;246235;155080;4150;994810
Einnahmen der laufenden Rechnung;2010;278736;19966;23049;515942;250131;157493;4322;1008999
Einnahmen der laufenden Rechnung;2011;300759;20226;23348;526638;267679;166536;4622;1070252
Veräußerung von Sachvermögen;1992;489;-;-;44;678;4562;57;5830
Veräußerung von Sachvermögen;1993;424;-;-;57;786;5459;54;6779
Veräußerung von Sachvermögen;1994;947;105;-;167;686;6527;79;8511
Veräußerung von Sachvermögen;1995;1302;78;-;72;2228;6402;270;10352
Veräußerung von Sachvermögen;1996;1367;471;-;126;1068;6833;183;10049
Veräußerung von Sachvermögen;1997;1590;1431;-;154;919;6743;126;10962
Veräußerung von Sachvermögen;1998;1932;706;-;29;825;6637;48;10177
Veräußerung von Sachvermögen;1999;1032;97;-;178;1091;6391;68;8856
Veräußerung von Sachvermögen;2000;52347;186;-;75;950;5658;41;59257
Veräußerung von Sachvermögen;2001;812;44;-;273;690;5086;33;6938
Veräußerung von Sachvermögen;2002;652;87;-;82;704;4968;33;6527
Veräußerung von Sachvermögen;2003;616;107;-;214;643;4981;28;6589
Veräußerung von Sachvermögen;2004;803;73;-;82;940;4883;38;6819
Veräußerung von Sachvermögen;2005;225;87;-;0;1811;4596;61;6779
Veräußerung von Sachvermögen;2006;262;104;-;224;1580;4307;28;6504
Veräußerung von Sachvermögen;2007;259;98;-;344;1140;3856;42;5739
Veräußerung von Sachvermögen;2008;293;47;-;278;718;3689;56;5082
Veräußerung von Sachvermögen;2009;882;27;-;216;432;3179;24;4760
Veräußerung von Sachvermögen;2010;5299;30;-;337;450;3591;32;9738
Veräußerung von Sachvermögen;2011;728;28;-;192;554;3961;43;5505
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;1992;50;-;-;-;11679;13717;877;26323
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;1993;47;49;-;122;12063;13887;942;27110
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;1994;52;50;-;-;10954;12456;1004;24515
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;1995;612;268;-;-;13705;12403;910;27898
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;1996;47;208;-;1;14725;12382;748;28110
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;1997;55;241;-;-;13177;11805;688;25967
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;1998;46;120;-;-;12365;9782;545;22858
Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.;1999;9;8;-;-;11958;9370;496;21841
